,Active Players,Age,Pos.,Status,Adj. Salary
0,Chad Pinder,30,LF,Arb 3,"$2,725,000"
1,Tony Kemp,30,2B,Arb 2,"$2,250,000"
2,Stephen Vogt,37,C,Vet,"$950,000"
3,Sean Murphy,27,C,Pre-Arb,"$725,000"
4,Seth Brown,29,LF,Pre-Arb,"$705,000"
5,Cole Irvin,28,SP,Pre-Arb,"$705,000"
6,James Kaprielian,28,SP,Pre-Arb,"$705,000"
7,A.J. Puk,27,RP,Pre-Arb,"$705,000"
8,Domingo Acevedo,28,RP,Pre-Arb,"$700,000"
9,Kirby Snead,27,RP,Pre-Arb,"$615,360"
10,Adam Oller,27,SP,Pre-Arb,"$499,980"
11,Austin Pruitt,32,RP,Arb 1,"$484,596"
12,Nick Allen,23,SS,Pre-Arb,"$480,750"
13,Cristian Pache,23,CF,Pre-Arb,"$479,823"
14,Jonah Bride,26,3B,Pre-Arb,"$438,444"
15,Dermis Garcia,24,3B,Pre-Arb,"$265,374"
16,Sam Selman,31,RP,Pre-Arb,"$238,452"
17,JP Sears,26,SP,Pre-Arb,"$215,376"
18,Adrian Martinez,25,SP,Pre-Arb,"$203,838"
19,Shea Langeliers,24,C,Pre-Arb,"$192,300"
20,Jared Koenig,28,RP,Pre-Arb,"$169,224"
21,Norge Ruiz,28,RP,Pre-Arb,"$161,532"
22,Ken Waldichuk,24,SP,Pre-Arb,"$130,764"
23,Tyler Cyr,29,RP,Pre-Arb,"$111,534"
24,Jordan Diaz,21,3B,Pre-Arb,"$65,382"
25,Conner Capel,25,RF,Pre-Arb,"$57,690"
26,Ernie Clement,26,2B,Pre-Arb,"$46,212"
27,Nate Mondou,27,2B,Pre-Arb,"$7,692"
57,Bryce Harper,29,DH,Vet,"$27,538,462"
58,Zack Wheeler,32,SP,Vet,"$26,000,000"
59,J.T. Realmuto,31,C,Vet,"$23,875,000"
60,Nick Castellanos,30,RF,Vet,"$20,000,000"
61,Kyle Schwarber,29,LF,Vet,"$19,000,000"
62,Aaron Nola,29,SP,Vet,"$15,500,000"
63,Jean Segura,32,2B,Vet,"$14,850,000"
64,Kyle Gibson,34,SP,Vet,"$8,000,000"
65,Rhys Hoskins,29,1B,Arb 2,"$7,700,000"
66,Noah Syndergaard,29,SP,Vet,"$7,384,640"
67,Brad Hand,32,RP,Vet,"$6,000,000"
68,Zach Eflin,28,RP,Arb 3,"$5,550,000"
69,Jose Alvarado,27,RP,Arb 2,"$1,900,000"
70,David Robertson,37,RP/CL,Vet,"$1,230,769"
71,Ranger Suarez,26,SP,Pre-Arb,"$730,000"
72,Seranthony Dominguez,27,RP/CL,Arb 1,"$725,000"
73,Alec Bohm,25,3B,Pre-Arb,"$715,000"
74,Garrett Stubbs,29,C,Pre-Arb,"$704,500"
75,Andrew Bellatti,30,RP,Pre-Arb,"$673,050"
76,Bryson Stott,24,2B,Pre-Arb,"$669,204"
77,Connor Brogdon,27,RP,Pre-Arb,"$636,498"
78,Matt Vierling,25,OF,Pre-Arb,"$615,012"
79,Nick Maton,25,SS,Pre-Arb,"$449,982"
80,Bailey Falter,25,SP,Pre-Arb,"$347,670"
81,Edmundo Sosa,26,SS,Pre-Arb,"$259,512"
82,Brandon Marsh,24,LF,Pre-Arb,"$249,664"
83,Darick Hall,26,1B,Pre-Arb,"$234,606"
84,Dalton Guthrie,26,SS,Pre-Arb,"$119,226"
927,Nolan Arenado,31,3B,Vet,"$29,429,500"
928,Paul Goldschmidt,34,1B,Vet,"$26,250,000"
929,Adam Wainwright,40,SP,Vet,"$17,500,000"
930,Miles Mikolas,33,SP,Vet,"$16,750,000"
931,Yadier Molina,39,C,Vet,"$10,000,000"
932,Steven Matz,31,RP,Vet,"$8,500,000"
933,Paul DeJong,28,SS,Vet,"$6,166,666"
934,Corey Dickerson,33,LF,Vet,"$5,000,000"
935,Jack Flaherty,26,SP,Arb 2,"$5,000,000"
936,Albert Pujols,42,DH,Vet,"$2,600,000"
937,Giovanny Gallegos,30,RP,Arb 1,"$2,410,000"
938,Jordan Montgomery,29,SP,Arb 3,"$2,109,888"
939,Chris Stratton,31,RP,Arb 2,"$949,440"
940,Jordan Hicks,25,RP,Arb 2,"$937,500"
941,Tommy Edman,27,SS,Pre-Arb,"$722,900"
942,Ryan Helsley,27,RP/CL,Pre-Arb,"$722,450"
943,Andrew Knizner,27,C,Pre-Arb,"$718,300"
944,Jose Quintana,33,SP,Vet,"$714,285"
945,Dylan Carlson,23,RF,Pre-Arb,"$703,000"
946,Andre Pallante,23,RP,Pre-Arb,"$700,000"
947,Brendan Donovan,25,LF,Pre-Arb,"$630,744"
948,Lars Nootbaar,24,OF,Pre-Arb,"$538,625"
949,Juan Yepez,24,DH,Pre-Arb,"$480,750"
950,Jake Woodford,25,RP,Pre-Arb,"$435,675"
951,Zack Thompson,24,RP,Pre-Arb,"$369,216"
952,Ben DeLuzio,27,CF,Pre-Arb,"$130,764"
953,Alec Burleson,23,OF,Pre-Arb,"$107,688"
954,Matthew Liberatore,22,SP,Pre-Arb,"$96,150"
955,Robbie Ray,30,SP,Vet,"$21,000,000"
956,Eugenio Suarez,30,3B,Vet,"$11,285,714"
957,Adam Frazier,30,2B,Arb 3,"$8,000,000"
958,Mitch Haniger,31,RF,Arb 3,"$7,750,000"
959,J.P. Crawford,27,SS,Vet,"$6,000,000"
960,Marco Gonzales,30,SP,Vet,"$5,750,000"
961,Chris Flexen,28,RP,Vet,"$3,050,000"
962,Luis Castillo,29,SP,Arb 2,"$2,705,795"
963,Julio Rodriguez,21,CF,Pre-Arb,"$2,612,500"
964,Diego Castillo,28,RP,Arb 1,"$2,150,000"
965,Matt Boyd,31,RP,Arb 4,"$1,828,544"
966,Paul Sewald,32,RP/CL,Arb 2,"$1,735,000"
967,Carlos Santana,36,1B,Vet,"$1,500,000"
968,Dylan Moore,29,2B,Arb 1,"$1,350,000"
969,Luis Torrens,26,C,Arb 1,"$1,200,000"
970,Andres Munoz,23,RP,Vet,"$937,000"
971,Curt Casali,33,C,Arb 4,"$914,304"
972,Ty France,27,1B,Pre-Arb,"$734,500"
973,Logan Gilbert,25,SP,Pre-Arb,"$712,300"
974,Erik Swanson,28,RP,Pre-Arb,"$711,600"
975,Cal Raleigh,25,C,Pre-Arb,"$683,574"
976,Penn Murfee,28,RP,Pre-Arb,"$646,128"
977,Abraham Toro-Hernandez,25,3B,Pre-Arb,"$638,067"
978,Matt Festa,29,RP,Pre-Arb,"$615,360"
979,George Kirby,24,SP,Pre-Arb,"$519,210"
980,Matt Brash,24,RP,Pre-Arb,"$453,946"
981,Taylor Trammell,24,RF,Pre-Arb,"$426,906"
982,Jarred Kelenic,22,LF,Pre-Arb,"$259,960"
983,Ke'Bryan Hayes,25,3B,Vet,"$10,000,000"
984,Bryan Reynolds,27,CF,Vet,"$6,750,000"
985,Kevin Newman,28,SS,Arb 1,"$1,950,000"
986,Ben Gamel,30,LF,Arb 3,"$1,800,000"
987,JT Brubaker,28,SP,Pre-Arb,"$725,000"
988,Mitch Keller,26,SP,Pre-Arb,"$725,000"
989,Duane Underwood,27,RP,Pre-Arb,"$725,000"
990,David Bednar,27,RP/CL,Pre-Arb,"$715,000"
991,Zach Thompson,28,RP,Pre-Arb,"$705,000"
992,Chase De Jong,28,RP,Pre-Arb,"$646,128"
993,Tyler Heineman,31,C,Pre-Arb,"$546,132"
994,Nick Mears,25,RP,Pre-Arb,"$534,612"
995,Diego Castillo,28,2B,Pre-Arb,"$534,594"
996,Bryse Wilson,24,SP,Pre-Arb,"$526,486"
997,Jack Suwinski,23,LF,Pre-Arb,"$449,982"
998,Oneil Cruz,23,SS,Pre-Arb,"$411,522"
999,Jason Delay,27,C,Pre-Arb,"$357,678"
1000,Cal Mitchell,23,OF,Pre-Arb,"$357,678"
1001,Manny Banuelos,31,RP,Pre-Arb,"$349,986"
1002,Tucupita Marcano,22,SS,Pre-Arb,"$330,756"
1003,Rodolfo Castro,23,SS,Pre-Arb,"$311,526"
1004,Robert Stephenson,29,RP,Arb 2,"$274,287"
1005,Miguel Yajure,24,RP,Pre-Arb,"$255,684"
1006,Yohan Ramirez,27,RP,Pre-Arb,"$226,722"
1007,Johan Oviedo,24,SP,Pre-Arb,"$130,764"
1008,Miguel Andujar,27,3B,Arb 1,"$71,430"
1009,Ji-Hwan Bae,22,SS,Pre-Arb,"$46,152"
1010,Junior Fernandez,25,RP,Pre-Arb,"$15,384"
1011,Freddie Freeman,32,1B,Vet,"$27,000,000"
1012,Mookie Betts,29,RF,Vet,"$22,500,000"
1013,Trea Turner,29,SS,Arb 4,"$21,000,000"
1014,Justin Turner,37,3B,Vet,"$20,000,000"
1015,Clayton Kershaw,34,SP,Vet,"$17,300,000"
1016,Cody Bellinger,26,CF,Arb 3,"$17,000,000"
1017,David Price,36,RP,Vet,"$16,000,000"
1018,Craig Kimbrel,34,RP/CL,Vet,"$16,000,000"
1019,Chris Taylor,31,LF,Vet,"$15,000,000"
1020,Max Muncy,31,DH,Vet,"$13,000,000"
1021,Tyler Anderson,32,SP,Vet,"$8,500,000"
1022,Andrew Heaney,31,SP,Vet,"$8,500,000"
1023,Julio Urias,25,SP,Arb 2,"$8,000,000"
1024,Tommy Kahnle,32,RP,Vet,"$3,725,000"
1025,Joey Gallo,28,LF,Arb 3,"$3,613,184"
1026,Austin Barnes,32,C,Arb 3,"$2,750,000"
1027,Hanser Alberto,29,2B,Arb 3,"$1,350,000"
1028,Chris Martin,36,RP,Arb 2,"$934,066"
1029,Will Smith,27,C,Pre-Arb,"$730,000"
1030,Anthony Gonsolin,28,SP,Pre-Arb,"$720,000"
1031,Brusdar Graterol,23,RP,Pre-Arb,"$720,000"
1032,Gavin Lux,24,2B,Pre-Arb,"$720,000"
1033,Evan Phillips,27,RP,Pre-Arb,"$720,000"
1034,Alex Vesia,26,RP,Pre-Arb,"$720,000"
1035,Caleb Ferguson,25,RP,Arb 1,"$678,640"
1036,Yency Almonte,28,RP,Pre-Arb,"$561,516"
1037,Trayce Thompson,31,CF,Pre-Arb,"$407,676"
1038,Miguel Vargas,22,3B,Pre-Arb,"$153,840"
1039,Charlie Morton,38,SP,Vet,"$20,000,000"
1040,Kenley Jansen,34,RP/CL,Vet,"$16,000,000"
1041,Marcell Ozuna,31,DH,Vet,"$16,000,000"
1042,Ronald Acuna Jr.,24,RF,Vet,"$15,000,000"
1043,Matt Olson,28,1B,Vet,"$15,000,000"
1044,Dansby Swanson,28,SS,Arb 3,"$10,000,000"
1045,Eddie Rosario,30,LF,Vet,"$9,000,000"
1046,Travis d'Arnaud,33,C,Vet,"$8,000,000"
1047,Max Fried,28,SP,Arb 2,"$6,850,000"
1048,Collin McHugh,35,RP,Vet,"$4,000,000"
1049,Austin Riley,25,3B,Arb 1,"$3,950,000"
1050,Raisel Iglesias,32,RP,Vet,"$3,516,480"
1051,Jake Odorizzi,32,SP,Vet,"$2,813,187"
1052,A.J. Minter,28,RP,Arb 2,"$2,200,000"
1053,Robbie Grossman,32,LF,Vet,"$1,758,272"
1054,Orlando Arcia,27,2B,Vet,"$1,600,000"
1055,Tyler Matzek,31,RP,Arb 1,"$1,400,000"
1056,Guillermo Heredia,31,CF,Arb 3,"$1,000,000"
1057,Kyle Wright,26,SP,Pre-Arb,"$720,000"
1058,Jackson Stephens,28,RP,Pre-Arb,"$680,742"
1059,William Contreras,24,C,Pre-Arb,"$667,071"
1060,Ehire Adrianza,32,SS,Vet,"$535,730"
1061,Dylan Lee,27,RP,Pre-Arb,"$526,902"
1062,Michael Harris,21,CF,Pre-Arb,"$499,980"
1063,Jesse Chavez,38,RP,Vet,"$247,248"
1064,Vaughn Grissom,21,SS,Pre-Arb,"$215,376"
1065,Bryce Elder,23,SP,Pre-Arb,"$153,840"
1066,Silvino Bracho,29,RP,Arb 1,"$46,152"
1123,Jose Abreu,35,1B,Vet,"$19,666,668"
1124,Lance Lynn,35,SP,Vet,"$18,500,000"
1125,Yasmani Grandal,33,C,Vet,"$18,250,000"
1126,A.J. Pollock,34,LF,Vet,"$14,500,000"
1127,Yoan Moncada,27,3B,Vet,"$13,800,000"
1128,Liam Hendriks,33,RP/CL,Vet,"$13,333,333"
1129,Kendall Graveman,31,RP,Vet,"$8,000,000"
1130,Lucas Giolito,27,SP,Arb 2,"$7,450,000"
1131,Eloy Jimenez,25,LF,Vet,"$7,333,333"
1132,Joe Kelly,34,RP,Vet,"$7,000,000"
1133,Leury Garcia,31,2B,Vet,"$5,500,000"
1134,Josh Harrison,34,2B,Vet,"$4,000,000"
1135,Johnny Cueto,36,SP,Vet,"$3,206,452"
1136,Vincent Velasquez,30,RP,Vet,"$3,000,000"
1137,Reynaldo Lopez,28,RP,Arb 2,"$2,625,000"
1138,Aaron Bummer,28,RP,Vet,"$2,500,000"
1139,Adam Engel,30,RF,Arb 2,"$2,000,000"
1140,Jake Diekman,35,RP,Vet,"$1,230,784"
1141,Dylan Cease,26,SP,Pre-Arb,"$750,000"
1142,Jose Ruiz,27,RP,Pre-Arb,"$720,000"
1143,Andrew Vaughn,24,DH,Pre-Arb,"$715,000"
1144,Gavin Sheets,26,DH,Pre-Arb,"$671,067"
1145,Jimmy Lambert,27,RP,Pre-Arb,"$480,750"
1146,Davis Martin,25,SP,Pre-Arb,"$199,992"
1147,Romy Gonzalez,25,2B,Pre-Arb,"$188,454"
1148,Elvis Andrus,33,SS,Vet,"$184,608"
1149,Carlos Perez,25,C,Pre-Arb,"$69,228"
